feature	chromosome	start	end	LGG150
7:130665001-130680000	7	130665001	130680000	0.291
7:130680001-130695000	7	130680001	130695000	0.685
7:130695001-130710000	7	130695001	130710000	0.18
7:130710001-130725000	7	130710001	130725000	0.456
7:130725001-130740000	7	130725001	130740000	-0.059
7:130740001-130755000	7	130740001	130755000	0.031
7:130755001-130770000	7	130755001	130770000	0.172
7:130770001-130785000	7	130770001	130785000	0.152
7:130785001-130800000	7	130785001	130800000	0.275
7:130800001-130815000	7	130800001	130815000	-0.043
7:130815001-130830000	7	130815001	130830000	-0.878
7:130830001-130845000	7	130830001	130845000	0.11
7:130845001-130860000	7	130845001	130860000	0.084
7:130860001-130875000	7	130860001	130875000	0.243
7:130875001-130890000	7	130875001	130890000	0.145
7:130890001-130905000	7	130890001	130905000	0.212
7:130905001-130920000	7	130905001	130920000	0.157
7:130920001-130935000	7	130920001	130935000	0.495
7:130935001-130950000	7	130935001	130950000	0.202
7:130950001-130965000	7	130950001	130965000	0.06
7:130965001-130980000	7	130965001	130980000	-0.041
7:130980001-130995000	7	130980001	130995000	0.39
7:130995001-131010000	7	130995001	131010000	0.708
7:131010001-131025000	7	131010001	131025000	0.191
7:131025001-131040000	7	131025001	131040000	-0.032
7:131040001-131055000	7	131040001	131055000	0.326
7:131055001-131070000	7	131055001	131070000	0.446
7:131070001-131085000	7	131070001	131085000	0.145
7:131085001-131100000	7	131085001	131100000	0.544
7:131100001-131115000	7	131100001	131115000	0.465
7:131115001-131130000	7	131115001	131130000	0.107
7:131130001-131145000	7	131130001	131145000	0.192
7:131145001-131160000	7	131145001	131160000	0.309
7:131160001-131175000	7	131160001	131175000	0.226
7:131175001-131190000	7	131175001	131190000	0.09
7:131190001-131205000	7	131190001	131205000	0.365
7:131205001-131220000	7	131205001	131220000	0.244
7:131220001-131235000	7	131220001	131235000	0.248
7:131235001-131250000	7	131235001	131250000	-0.208
7:131250001-131265000	7	131250001	131265000	0.499
7:131265001-131280000	7	131265001	131280000	-0.162
7:131280001-131295000	7	131280001	131295000	0.495
7:131295001-131310000	7	131295001	131310000	0.025
7:131310001-131325000	7	131310001	131325000	0.017
7:131325001-131340000	7	131325001	131340000	0.379
7:131340001-131355000	7	131340001	131355000	0.429
7:131355001-131370000	7	131355001	131370000	-0.398
7:131370001-131385000	7	131370001	131385000	0.456
7:131385001-131400000	7	131385001	131400000	-0.09
7:131400001-131415000	7	131400001	131415000	0.191
7:131415001-131430000	7	131415001	131430000	0.082
7:131430001-131445000	7	131430001	131445000	-0.296
7:131445001-131460000	7	131445001	131460000	0.158
7:131460001-131475000	7	131460001	131475000	0.597
7:131475001-131490000	7	131475001	131490000	-0.012
7:131490001-131505000	7	131490001	131505000	0.092
7:131505001-131520000	7	131505001	131520000	-0.008
7:131520001-131535000	7	131520001	131535000	0.107
7:131535001-131550000	7	131535001	131550000	0.623
7:131550001-131565000	7	131550001	131565000	0.24
7:131565001-131580000	7	131565001	131580000	-0.041
7:131580001-131595000	7	131580001	131595000	0.154
7:131595001-131610000	7	131595001	131610000	0.241
7:131610001-131625000	7	131610001	131625000	0.055
7:131625001-131640000	7	131625001	131640000	0.143
7:131640001-131655000	7	131640001	131655000	0.158
7:131670001-131685000	7	131670001	131685000	0.263
7:131685001-131700000	7	131685001	131700000	0.238
7:131700001-131715000	7	131700001	131715000	0.4
7:131715001-131730000	7	131715001	131730000	0.538
7:131730001-131745000	7	131730001	131745000	0.224
7:131745001-131760000	7	131745001	131760000	0.587
7:131760001-131775000	7	131760001	131775000	0.236
7:131775001-131790000	7	131775001	131790000	0.227
7:131790001-131805000	7	131790001	131805000	0.157
7:131820001-131835000	7	131820001	131835000	0.549
7:131835001-131850000	7	131835001	131850000	0.429
7:131850001-131865000	7	131850001	131865000	0.309
7:131865001-131880000	7	131865001	131880000	0.477
7:131880001-131895000	7	131880001	131895000	0.223
7:131895001-131910000	7	131895001	131910000	-0.061
7:131910001-131925000	7	131910001	131925000	0.114
7:131925001-131940000	7	131925001	131940000	0.229
7:131940001-131955000	7	131940001	131955000	-0.026
7:131955001-131970000	7	131955001	131970000	0.392
7:131970001-131985000	7	131970001	131985000	0.215
7:131985001-132000000	7	131985001	132000000	0.215
7:132000001-132015000	7	132000001	132015000	-0.089
7:132015001-132030000	7	132015001	132030000	0.17
7:132030001-132045000	7	132030001	132045000	0.401
7:132045001-132060000	7	132045001	132060000	0.197
7:132060001-132075000	7	132060001	132075000	0.351
7:132075001-132090000	7	132075001	132090000	0.596
7:132090001-132105000	7	132090001	132105000	0.239
7:132105001-132120000	7	132105001	132120000	-0.015
7:132120001-132135000	7	132120001	132135000	0.274
7:132135001-132150000	7	132135001	132150000	0.299
7:132150001-132165000	7	132150001	132165000	-0.474
7:132165001-132180000	7	132165001	132180000	0.174
7:132180001-132195000	7	132180001	132195000	0.434
7:132195001-132210000	7	132195001	132210000	-0.082
7:132210001-132225000	7	132210001	132225000	0.341
7:132225001-132240000	7	132225001	132240000	0.147
7:132240001-132255000	7	132240001	132255000	0.123
7:132255001-132270000	7	132255001	132270000	0.413
7:132270001-132285000	7	132270001	132285000	-0.148
7:132285001-132300000	7	132285001	132300000	0.331
7:132300001-132315000	7	132300001	132315000	0.158
7:132315001-132330000	7	132315001	132330000	0.186
7:132330001-132345000	7	132330001	132345000	0.494
7:132360001-132375000	7	132360001	132375000	0.286
7:132375001-132390000	7	132375001	132390000	0.257
7:132390001-132405000	7	132390001	132405000	0.051
7:132405001-132420000	7	132405001	132420000	0
7:132420001-132435000	7	132420001	132435000	0.025
7:132435001-132450000	7	132435001	132450000	0.076
7:132450001-132465000	7	132450001	132465000	-0.09
7:132465001-132480000	7	132465001	132480000	0.093
7:132480001-132495000	7	132480001	132495000	0.152
7:132495001-132510000	7	132495001	132510000	0.174
7:132510001-132525000	7	132510001	132525000	-0.116
7:132525001-132540000	7	132525001	132540000	0.251
7:132540001-132555000	7	132540001	132555000	0.446
7:132555001-132570000	7	132555001	132570000	0.538
7:132570001-132585000	7	132570001	132585000	0.051
7:132585001-132600000	7	132585001	132600000	0.122
7:132600001-132615000	7	132600001	132615000	0.318
7:132615001-132630000	7	132615001	132630000	0.045
7:132630001-132645000	7	132630001	132645000	0.463
7:132645001-132660000	7	132645001	132660000	0.346
7:132660001-132675000	7	132660001	132675000	-0.044
7:132675001-132690000	7	132675001	132690000	0.094
7:132690001-132705000	7	132690001	132705000	0.128
7:132705001-132720000	7	132705001	132720000	-0.124
7:132720001-132735000	7	132720001	132735000	0.516
7:132735001-132750000	7	132735001	132750000	0.202
7:132750001-132765000	7	132750001	132765000	0.519
7:132765001-132780000	7	132765001	132780000	0.482
7:132780001-132795000	7	132780001	132795000	-0.46
7:132795001-132810000	7	132795001	132810000	0.099
7:132810001-132825000	7	132810001	132825000	0.027
7:132825001-132840000	7	132825001	132840000	0.225
7:132840001-132855000	7	132840001	132855000	-0.033
7:132855001-132870000	7	132855001	132870000	-0.107
7:132870001-132885000	7	132870001	132885000	-0.231
7:132885001-132900000	7	132885001	132900000	-0.362
7:132900001-132915000	7	132900001	132915000	-0.101
7:132915001-132930000	7	132915001	132930000	-0.261
7:132930001-132945000	7	132930001	132945000	0.386
7:132945001-132960000	7	132945001	132960000	0.143
7:132960001-132975000	7	132960001	132975000	-0.064
7:132975001-132990000	7	132975001	132990000	0.033
7:132990001-133005000	7	132990001	133005000	0.222
7:133020001-133035000	7	133020001	133035000	0.325
7:133035001-133050000	7	133035001	133050000	0.09
7:133050001-133065000	7	133050001	133065000	0.358
7:133065001-133080000	7	133065001	133080000	0.514
7:133080001-133095000	7	133080001	133095000	0.256
7:133095001-133110000	7	133095001	133110000	0.223
7:133110001-133125000	7	133110001	133125000	0.229
7:133125001-133140000	7	133125001	133140000	0.238
7:133140001-133155000	7	133140001	133155000	0.342
7:133155001-133170000	7	133155001	133170000	0.053
7:133170001-133185000	7	133170001	133185000	0.053
7:133185001-133200000	7	133185001	133200000	0.527
7:133200001-133215000	7	133200001	133215000	0.457
7:133215001-133230000	7	133215001	133230000	0.246
7:133230001-133245000	7	133230001	133245000	-0.295
7:133245001-133260000	7	133245001	133260000	-0.338
7:133260001-133275000	7	133260001	133275000	0.073
7:133275001-133290000	7	133275001	133290000	0.112
7:133290001-133305000	7	133290001	133305000	-0.078
7:133305001-133320000	7	133305001	133320000	0.442
7:133320001-133335000	7	133320001	133335000	-0.155
7:133335001-133350000	7	133335001	133350000	-0.193
7:133350001-133365000	7	133350001	133365000	0.375
7:133365001-133380000	7	133365001	133380000	0.28
7:133380001-133395000	7	133380001	133395000	0.096
7:133395001-133410000	7	133395001	133410000	0.143
7:133410001-133425000	7	133410001	133425000	0.404
7:133425001-133440000	7	133425001	133440000	0.426
7:133440001-133455000	7	133440001	133455000	0.425
7:133455001-133470000	7	133455001	133470000	0.275
7:133470001-133485000	7	133470001	133485000	0.113
7:133485001-133500000	7	133485001	133500000	-0.169
7:133500001-133515000	7	133500001	133515000	0.415
7:133515001-133530000	7	133515001	133530000	0.187
7:133530001-133545000	7	133530001	133545000	-0.158
7:133545001-133560000	7	133545001	133560000	0.293
7:133560001-133575000	7	133560001	133575000	0.073
7:133575001-133590000	7	133575001	133590000	0.197
7:133590001-133605000	7	133590001	133605000	0.283
7:133605001-133620000	7	133605001	133620000	0.135
7:133620001-133635000	7	133620001	133635000	-0.415
7:133635001-133650000	7	133635001	133650000	0.114
7:133650001-133665000	7	133650001	133665000	-0.36
7:133665001-133680000	7	133665001	133680000	-0.125
7:133680001-133695000	7	133680001	133695000	0.244
7:133695001-133710000	7	133695001	133710000	0.183
7:133710001-133725000	7	133710001	133725000	0.321
7:133725001-133740000	7	133725001	133740000	0.19
7:133740001-133755000	7	133740001	133755000	0.154
7:133755001-133770000	7	133755001	133770000	0.125
7:133770001-133785000	7	133770001	133785000	0.002
7:133785001-133800000	7	133785001	133800000	-0.127
7:133800001-133815000	7	133800001	133815000	-0.031
7:133815001-133830000	7	133815001	133830000	-0.236
7:133830001-133845000	7	133830001	133845000	0.499
7:133845001-133860000	7	133845001	133860000	-0.46
7:133860001-133875000	7	133860001	133875000	-0.288
7:133875001-133890000	7	133875001	133890000	0.491
7:133890001-133905000	7	133890001	133905000	-0.296
7:133905001-133920000	7	133905001	133920000	0.162
7:133920001-133935000	7	133920001	133935000	0.487
7:133935001-133950000	7	133935001	133950000	0.088
7:133950001-133965000	7	133950001	133965000	-0.314
7:133965001-133980000	7	133965001	133980000	-0.099
7:133980001-133995000	7	133980001	133995000	0.532
7:133995001-134010000	7	133995001	134010000	0.369
7:134010001-134025000	7	134010001	134025000	0.499
7:134025001-134040000	7	134025001	134040000	0.272
7:134040001-134055000	7	134040001	134055000	0.161
7:134055001-134070000	7	134055001	134070000	0.194
7:134085001-134100000	7	134085001	134100000	0.125
7:134100001-134115000	7	134100001	134115000	0.048
7:134115001-134130000	7	134115001	134130000	0.597
7:134130001-134145000	7	134130001	134145000	0.425
7:134145001-134160000	7	134145001	134160000	-0.195
7:134160001-134175000	7	134160001	134175000	-0.201
7:134175001-134190000	7	134175001	134190000	-0.293
7:134190001-134205000	7	134190001	134205000	-0.153
7:134205001-134220000	7	134205001	134220000	-0.38
7:134220001-134235000	7	134220001	134235000	0.309
7:134235001-134250000	7	134235001	134250000	0.042
7:134250001-134265000	7	134250001	134265000	-0.445
7:134265001-134280000	7	134265001	134280000	-0.222
7:134280001-134295000	7	134280001	134295000	0.291
7:134295001-134310000	7	134295001	134310000	0.156
7:134310001-134325000	7	134310001	134325000	0.275
7:134325001-134340000	7	134325001	134340000	0.182
7:134340001-134355000	7	134340001	134355000	0.323
7:134355001-134370000	7	134355001	134370000	0.251
7:134370001-134385000	7	134370001	134385000	0.224
7:134385001-134400000	7	134385001	134400000	0.259
7:134400001-134415000	7	134400001	134415000	0.42
7:134415001-134430000	7	134415001	134430000	-0.217
7:134430001-134445000	7	134430001	134445000	-0.443
7:134445001-134460000	7	134445001	134460000	0.178
7:134460001-134475000	7	134460001	134475000	0.096
7:134475001-134490000	7	134475001	134490000	0.266
7:134490001-134505000	7	134490001	134505000	0.089
7:134505001-134520000	7	134505001	134520000	0.43
7:134520001-134535000	7	134520001	134535000	0.215
7:134535001-134550000	7	134535001	134550000	0.114
7:134550001-134565000	7	134550001	134565000	-0.074
7:134565001-134580000	7	134565001	134580000	0.331
7:134580001-134595000	7	134580001	134595000	0.413
7:134595001-134610000	7	134595001	134610000	0.64
7:134610001-134625000	7	134610001	134625000	0.131
7:134625001-134640000	7	134625001	134640000	0.149
7:134640001-134655000	7	134640001	134655000	0.47
7:134670001-134685000	7	134670001	134685000	0.567
7:134685001-134700000	7	134685001	134700000	0.247
7:134700001-134715000	7	134700001	134715000	0.174
7:134715001-134730000	7	134715001	134730000	-0.16
7:134730001-134745000	7	134730001	134745000	0.431
7:134745001-134760000	7	134745001	134760000	0.267
7:134760001-134775000	7	134760001	134775000	0.274
7:134775001-134790000	7	134775001	134790000	0.179
7:134790001-134805000	7	134790001	134805000	0.367
7:134805001-134820000	7	134805001	134820000	0.3
7:134820001-134835000	7	134820001	134835000	0.299
7:134835001-134850000	7	134835001	134850000	0.244
7:134850001-134865000	7	134850001	134865000	0.479
7:134865001-134880000	7	134865001	134880000	0.562
7:134880001-134895000	7	134880001	134895000	0.228
7:134895001-134910000	7	134895001	134910000	-0.098
7:134910001-134925000	7	134910001	134925000	0.196
7:134925001-134940000	7	134925001	134940000	0.088
7:134940001-134955000	7	134940001	134955000	0.45
7:134955001-134970000	7	134955001	134970000	0.345
7:134970001-134985000	7	134970001	134985000	-0.252
7:134985001-135000000	7	134985001	135000000	0.426
7:135000001-135015000	7	135000001	135015000	-0.003
7:135015001-135030000	7	135015001	135030000	-0.154
7:135030001-135045000	7	135030001	135045000	0.18
7:135045001-135060000	7	135045001	135060000	0.463
7:135060001-135075000	7	135060001	135075000	0.153
7:135075001-135090000	7	135075001	135090000	0.384
7:135090001-135105000	7	135090001	135105000	-0.2
7:135105001-135120000	7	135105001	135120000	0.162
7:135120001-135135000	7	135120001	135135000	0.367
7:135135001-135150000	7	135135001	135150000	0.035
7:135150001-135165000	7	135150001	135165000	-0.022
7:135165001-135180000	7	135165001	135180000	-0.023
7:135180001-135195000	7	135180001	135195000	0.222
7:135195001-135210000	7	135195001	135210000	-0.168
7:135210001-135225000	7	135210001	135225000	0.056
7:135225001-135240000	7	135225001	135240000	0.557
7:135240001-135255000	7	135240001	135255000	0.311
7:135255001-135270000	7	135255001	135270000	-0.228
7:135270001-135285000	7	135270001	135285000	0.64
7:135285001-135300000	7	135285001	135300000	0.628
7:135300001-135315000	7	135300001	135315000	0.48
7:135315001-135330000	7	135315001	135330000	0.147
7:135330001-135345000	7	135330001	135345000	0.226
7:135345001-135360000	7	135345001	135360000	0.518
7:135360001-135375000	7	135360001	135375000	0.599
7:135375001-135390000	7	135375001	135390000	0.112
7:135390001-135405000	7	135390001	135405000	0.204
7:135405001-135420000	7	135405001	135420000	0.06
7:135420001-135435000	7	135420001	135435000	-0.012
7:135435001-135450000	7	135435001	135450000	0.302
7:135450001-135465000	7	135450001	135465000	0.204
7:135465001-135480000	7	135465001	135480000	0.343
7:135480001-135495000	7	135480001	135495000	0.435
7:135495001-135510000	7	135495001	135510000	-0.07
7:135510001-135525000	7	135510001	135525000	0.17
7:135525001-135540000	7	135525001	135540000	0.286
7:135540001-135555000	7	135540001	135555000	-0.24
7:135555001-135570000	7	135555001	135570000	0.417
7:135570001-135585000	7	135570001	135585000	-0.101
7:135585001-135600000	7	135585001	135600000	-0.115
7:135600001-135615000	7	135600001	135615000	0.026
7:135615001-135630000	7	135615001	135630000	0.158
7:135630001-135645000	7	135630001	135645000	0.217
7:135645001-135660000	7	135645001	135660000	0.197
7:135660001-135675000	7	135660001	135675000	0.266
7:135675001-135690000	7	135675001	135690000	0.274
7:135690001-135705000	7	135690001	135705000	0.343
7:135705001-135720000	7	135705001	135720000	0.609
7:135720001-135735000	7	135720001	135735000	-0.033
7:135735001-135750000	7	135735001	135750000	-0.028
7:135750001-135765000	7	135750001	135765000	0.332
7:135765001-135780000	7	135765001	135780000	-0.044
7:135795001-135810000	7	135795001	135810000	-0.197
7:135810001-135825000	7	135810001	135825000	-0.243
7:135825001-135840000	7	135825001	135840000	0.267
7:135840001-135855000	7	135840001	135855000	-0.002
7:135870001-135885000	7	135870001	135885000	-0.039
7:135885001-135900000	7	135885001	135900000	0.365
7:135900001-135915000	7	135900001	135915000	0.024
7:135915001-135930000	7	135915001	135930000	-0.285
7:135930001-135945000	7	135930001	135945000	-0.324
7:135945001-135960000	7	135945001	135960000	-0.576
7:135960001-135975000	7	135960001	135975000	-0.495
7:135975001-135990000	7	135975001	135990000	0.215
7:135990001-136005000	7	135990001	136005000	0.279
7:136005001-136020000	7	136005001	136020000	0.032
7:136020001-136035000	7	136020001	136035000	0.341
7:136035001-136050000	7	136035001	136050000	-0.054
7:136050001-136065000	7	136050001	136065000	0.46
7:136065001-136080000	7	136065001	136080000	-0.044
7:136080001-136095000	7	136080001	136095000	0.114
7:136110001-136125000	7	136110001	136125000	-0.013
7:136125001-136140000	7	136125001	136140000	0.299
7:136140001-136155000	7	136140001	136155000	-0.423
7:136155001-136170000	7	136155001	136170000	-0.252
7:136170001-136185000	7	136170001	136185000	0.356
7:136185001-136200000	7	136185001	136200000	0.248
7:136200001-136215000	7	136200001	136215000	-0.04
7:136215001-136230000	7	136215001	136230000	0.383
7:136230001-136245000	7	136230001	136245000	0.094
7:136245001-136260000	7	136245001	136260000	0.296
7:136260001-136275000	7	136260001	136275000	-0.451
7:136275001-136290000	7	136275001	136290000	0.011
7:136290001-136305000	7	136290001	136305000	0.293
7:136305001-136320000	7	136305001	136320000	0.308
7:136320001-136335000	7	136320001	136335000	0.081
7:136335001-136350000	7	136335001	136350000	0.122
7:136350001-136365000	7	136350001	136365000	-0.034
7:136365001-136380000	7	136365001	136380000	0.08
7:136380001-136395000	7	136380001	136395000	0.104
7:136395001-136410000	7	136395001	136410000	0.126
7:136410001-136425000	7	136410001	136425000	-0.203
7:136425001-136440000	7	136425001	136440000	0.376
7:136440001-136455000	7	136440001	136455000	-0.122
7:136455001-136470000	7	136455001	136470000	-0.001
7:136470001-136485000	7	136470001	136485000	0.155
7:136485001-136500000	7	136485001	136500000	0.022
7:136500001-136515000	7	136500001	136515000	-0.033
7:136515001-136530000	7	136515001	136530000	0.174
7:136530001-136545000	7	136530001	136545000	-0.447
7:136545001-136560000	7	136545001	136560000	-0.431
7:136560001-136575000	7	136560001	136575000	-0.078
7:136575001-136590000	7	136575001	136590000	-0.169
7:136590001-136605000	7	136590001	136605000	-0.309
7:136605001-136620000	7	136605001	136620000	0.036
7:136620001-136635000	7	136620001	136635000	-0.237
7:136635001-136650000	7	136635001	136650000	-0.156
7:136650001-136665000	7	136650001	136665000	0
7:136665001-136680000	7	136665001	136680000	0.183
7:136680001-136695000	7	136680001	136695000	-0.073
7:136695001-136710000	7	136695001	136710000	0.186
7:136710001-136725000	7	136710001	136725000	-0.359
7:136725001-136740000	7	136725001	136740000	-0.212
7:136740001-136755000	7	136740001	136755000	0.133
7:136755001-136770000	7	136755001	136770000	0.222
7:136770001-136785000	7	136770001	136785000	0.133
7:136785001-136800000	7	136785001	136800000	0.286
7:136800001-136815000	7	136800001	136815000	0.128
7:136815001-136830000	7	136815001	136830000	-0.119
7:136830001-136845000	7	136830001	136845000	0.154
7:136845001-136860000	7	136845001	136860000	0.267
7:136860001-136875000	7	136860001	136875000	-0.197
7:136875001-136890000	7	136875001	136890000	0.315
7:136890001-136905000	7	136890001	136905000	0.351
7:136905001-136920000	7	136905001	136920000	0.157
7:136920001-136935000	7	136920001	136935000	0.293
7:136935001-136950000	7	136935001	136950000	0.299
7:136950001-136965000	7	136950001	136965000	0.507
7:136965001-136980000	7	136965001	136980000	-0.077
7:136980001-136995000	7	136980001	136995000	0.641
7:136995001-137010000	7	136995001	137010000	0.415
7:137010001-137025000	7	137010001	137025000	0.337
7:137025001-137040000	7	137025001	137040000	0.43
7:137040001-137055000	7	137040001	137055000	0.128
7:137055001-137070000	7	137055001	137070000	0.303
7:137070001-137085000	7	137070001	137085000	0.333
7:137085001-137100000	7	137085001	137100000	0.448
7:137115001-137130000	7	137115001	137130000	0.497
7:137130001-137145000	7	137130001	137145000	-0.021
7:137145001-137160000	7	137145001	137160000	0.044
7:137160001-137175000	7	137160001	137175000	0.172
7:137175001-137190000	7	137175001	137190000	0.055
7:137190001-137205000	7	137190001	137205000	-0.307
7:137205001-137220000	7	137205001	137220000	0.058
7:137220001-137235000	7	137220001	137235000	0.097
7:137235001-137250000	7	137235001	137250000	-0.057
7:137250001-137265000	7	137250001	137265000	0.093
7:137265001-137280000	7	137265001	137280000	-0.134
7:137280001-137295000	7	137280001	137295000	0.034
7:137295001-137310000	7	137295001	137310000	0.063
7:137310001-137325000	7	137310001	137325000	-0.279
7:137325001-137340000	7	137325001	137340000	-0.285
7:137340001-137355000	7	137340001	137355000	0.421
7:137355001-137370000	7	137355001	137370000	0.2
7:137370001-137385000	7	137370001	137385000	0.415
7:137385001-137400000	7	137385001	137400000	0.355
7:137400001-137415000	7	137400001	137415000	0.542
7:137415001-137430000	7	137415001	137430000	0.304
7:137430001-137445000	7	137430001	137445000	0.422
7:137445001-137460000	7	137445001	137460000	-0.056
7:137460001-137475000	7	137460001	137475000	0.549
7:137475001-137490000	7	137475001	137490000	0.015
7:137490001-137505000	7	137490001	137505000	0.184
7:137505001-137520000	7	137505001	137520000	-0.32
7:137520001-137535000	7	137520001	137535000	0.484
7:137535001-137550000	7	137535001	137550000	-0.344
7:137565001-137580000	7	137565001	137580000	0.287
7:137580001-137595000	7	137580001	137595000	0.029
7:137595001-137610000	7	137595001	137610000	0.487
7:137610001-137625000	7	137610001	137625000	0.165
7:137625001-137640000	7	137625001	137640000	0.707
7:137640001-137655000	7	137640001	137655000	0.375
7:137655001-137670000	7	137655001	137670000	0.51
7:137670001-137685000	7	137670001	137685000	0.358
7:137685001-137700000	7	137685001	137700000	0.021
7:137700001-137715000	7	137700001	137715000	-0.021
7:137715001-137730000	7	137715001	137730000	0.715
7:137730001-137745000	7	137730001	137745000	0.067
7:137745001-137760000	7	137745001	137760000	0.357
7:137760001-137775000	7	137760001	137775000	-0.089
7:137775001-137790000	7	137775001	137790000	-0.02
7:137790001-137805000	7	137790001	137805000	0.317
7:137805001-137820000	7	137805001	137820000	-0.179
7:137820001-137835000	7	137820001	137835000	-0.244
7:137835001-137850000	7	137835001	137850000	0.047
7:137850001-137865000	7	137850001	137865000	-0.127
7:137865001-137880000	7	137865001	137880000	0.378
7:137880001-137895000	7	137880001	137895000	0.122
7:137895001-137910000	7	137895001	137910000	-0.457
7:137910001-137925000	7	137910001	137925000	0.303
7:137925001-137940000	7	137925001	137940000	0.051
7:137940001-137955000	7	137940001	137955000	-0.215
7:137955001-137970000	7	137955001	137970000	-0.183
7:137970001-137985000	7	137970001	137985000	0.103
7:137985001-138000000	7	137985001	138000000	-0.058
7:138000001-138015000	7	138000001	138015000	0.287
7:138015001-138030000	7	138015001	138030000	0.155
7:138030001-138045000	7	138030001	138045000	-0.093
7:138045001-138060000	7	138045001	138060000	0.232
7:138060001-138075000	7	138060001	138075000	0.242
7:138075001-138090000	7	138075001	138090000	-0.307
7:138090001-138105000	7	138090001	138105000	0.037
7:138105001-138120000	7	138105001	138120000	0.308
7:138120001-138135000	7	138120001	138135000	-0.423
7:138135001-138150000	7	138135001	138150000	-0.016
7:138150001-138165000	7	138150001	138165000	0.292
7:138165001-138180000	7	138165001	138180000	0.06
7:138180001-138195000	7	138180001	138195000	0.293
7:138195001-138210000	7	138195001	138210000	0.092
7:138210001-138225000	7	138210001	138225000	0.786
7:138225001-138240000	7	138225001	138240000	-0.115
7:138240001-138255000	7	138240001	138255000	0.134
7:138255001-138270000	7	138255001	138270000	0.12
7:138270001-138285000	7	138270001	138285000	-0.154
7:138285001-138300000	7	138285001	138300000	0.081
7:138300001-138315000	7	138300001	138315000	0.206
7:138315001-138330000	7	138315001	138330000	0.289
7:138330001-138345000	7	138330001	138345000	0.271
7:138345001-138360000	7	138345001	138360000	0.224
7:138360001-138375000	7	138360001	138375000	-0.058
7:138375001-138390000	7	138375001	138390000	0.027
7:138390001-138405000	7	138390001	138405000	-0.001
7:138405001-138420000	7	138405001	138420000	0.151
7:138420001-138435000	7	138420001	138435000	0.022
7:138435001-138450000	7	138435001	138450000	0.331
7:138450001-138465000	7	138450001	138465000	-0.174
7:138465001-138480000	7	138465001	138480000	0.122
7:138480001-138495000	7	138480001	138495000	0.139
7:138495001-138510000	7	138495001	138510000	-0.339
7:138510001-138525000	7	138510001	138525000	-0.138
7:138525001-138540000	7	138525001	138540000	-0.052
7:138540001-138555000	7	138540001	138555000	-0.021
7:138555001-138570000	7	138555001	138570000	-0.003
7:138570001-138585000	7	138570001	138585000	0.525
7:138585001-138600000	7	138585001	138600000	0.033
7:138600001-138615000	7	138600001	138615000	0.215
7:138615001-138630000	7	138615001	138630000	0.326
7:138630001-138645000	7	138630001	138645000	0.137
7:138645001-138660000	7	138645001	138660000	0.395
7:138660001-138675000	7	138660001	138675000	0.241
7:138675001-138690000	7	138675001	138690000	-0.286
7:138690001-138705000	7	138690001	138705000	-0.347
7:138705001-138720000	7	138705001	138720000	0.128
7:138720001-138735000	7	138720001	138735000	-0.112
7:138735001-138750000	7	138735001	138750000	-0.076
7:138750001-138765000	7	138750001	138765000	0.292
7:138765001-138780000	7	138765001	138780000	0.109
7:138780001-138795000	7	138780001	138795000	0.23
7:138795001-138810000	7	138795001	138810000	0.095
7:138810001-138825000	7	138810001	138825000	0.576
7:138825001-138840000	7	138825001	138840000	0.118
7:138840001-138855000	7	138840001	138855000	0.447
7:138855001-138870000	7	138855001	138870000	0.539
7:138870001-138885000	7	138870001	138885000	-0.157
7:138885001-138900000	7	138885001	138900000	0.416
7:138900001-138915000	7	138900001	138915000	0.575
7:138915001-138930000	7	138915001	138930000	0.021
7:138930001-138945000	7	138930001	138945000	-0.101
7:138945001-138960000	7	138945001	138960000	0.787
7:138960001-138975000	7	138960001	138975000	0.544
7:138975001-138990000	7	138975001	138990000	0.532
7:138990001-139005000	7	138990001	139005000	0.365
7:139005001-139020000	7	139005001	139020000	0.156
7:139020001-139035000	7	139020001	139035000	0.444
7:139035001-139050000	7	139035001	139050000	0.496
7:139050001-139065000	7	139050001	139065000	0.127
7:139065001-139080000	7	139065001	139080000	0.482
7:139080001-139095000	7	139080001	139095000	-0.119
7:139095001-139110000	7	139095001	139110000	0.017
7:139110001-139125000	7	139110001	139125000	-0.048
7:139125001-139140000	7	139125001	139140000	0.03
7:139140001-139155000	7	139140001	139155000	0.171
7:139155001-139170000	7	139155001	139170000	0.271
7:139170001-139185000	7	139170001	139185000	0.01
7:139185001-139200000	7	139185001	139200000	0.08
7:139200001-139215000	7	139200001	139215000	0.268
7:139215001-139230000	7	139215001	139230000	0.277
7:139230001-139245000	7	139230001	139245000	0.186
7:139245001-139260000	7	139245001	139260000	0.176
7:139260001-139275000	7	139260001	139275000	-0.795
7:139275001-139290000	7	139275001	139290000	0.529
7:139290001-139305000	7	139290001	139305000	0.191
7:139305001-139320000	7	139305001	139320000	0.497
7:139320001-139335000	7	139320001	139335000	0.391
7:139335001-139350000	7	139335001	139350000	0.267
7:139350001-139365000	7	139350001	139365000	0.243
7:139365001-139380000	7	139365001	139380000	0.484
7:139395001-139410000	7	139395001	139410000	0.553
7:139410001-139425000	7	139410001	139425000	0.492
7:139425001-139440000	7	139425001	139440000	0.376
7:139440001-139455000	7	139440001	139455000	-0.031
7:139455001-139470000	7	139455001	139470000	0.3
7:139470001-139485000	7	139470001	139485000	0.103
